+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|       clk_out2_clk_wiz_0 |       clk_out1_clk_wiz_0 |                                           u_top/u_ila0/U0/ila_core_inst/shifted_data_in_reg[7][42]_srl8/D|
|       clk_out2_clk_wiz_0 |       clk_out1_clk_wiz_0 |                                           u_top/u_ila0/U0/ila_core_inst/shifted_data_in_reg[7][32]_srl8/D|
|       clk_out2_clk_wiz_0 |       clk_out1_clk_wiz_0 |                                           u_top/u_ila0/U0/ila_core_inst/shifted_data_in_reg[7][51]_srl8/D|
|       clk_out2_clk_wiz_0 |       clk_out1_clk_wiz_0 |                                           u_top/u_ila0/U0/ila_core_inst/shifted_data_in_reg[7][61]_srl8/D|
|       clk_out2_clk_wiz_0 |       clk_out1_clk_wiz_0 |                                           u_top/u_ila0/U0/ila_core_inst/shifted_data_in_reg[7][59]_srl8/D|
|       clk_out2_clk_wiz_0 |       clk_out1_clk_wiz_0 |                                           u_top/u_ila0/U0/ila_core_inst/shifted_data_in_reg[7][62]_srl8/D|
|       clk_out2_clk_wiz_0 |       clk_out1_clk_wiz_0 |                                           u_top/u_ila0/U0/ila_core_inst/shifted_data_in_reg[7][29]_srl8/D|
|       clk_out2_clk_wiz_0 |       clk_out1_clk_wiz_0 |                                           u_top/u_ila0/U0/ila_core_inst/shifted_data_in_reg[7][38]_srl8/D|
|       clk_out2_clk_wiz_0 |       clk_out1_clk_wiz_0 |                                           u_top/u_ila0/U0/ila_core_inst/shifted_data_in_reg[7][48]_srl8/D|
|       clk_out2_clk_wiz_0 |       clk_out1_clk_wiz_0 |                                           u_top/u_ila0/U0/ila_core_inst/shifted_data_in_reg[7][56]_srl8/D|
|       clk_out2_clk_wiz_0 |       clk_out1_clk_wiz_0 |                                           u_top/u_ila0/U0/ila_core_inst/shifted_data_in_reg[7][54]_srl8/D|
|       clk_out2_clk_wiz_0 |       clk_out1_clk_wiz_0 |                                                                                        u_top/srst_s_reg/D|
|       clk_out2_clk_wiz_0 |       clk_out1_clk_wiz_0 |                                           u_top/u_ila0/U0/ila_core_inst/shifted_data_in_reg[7][46]_srl8/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
